"Income.Group","Region","Country","Year","Urban","AgingPop","FemLab","Unemploy","GDPg","GDPpcap","FDIGDP","FDIusd","HDI","LEI","IncI","EduI","EPI","EFI","ESGcomp"
"Upper middle income","Europe & Central Asia","Albania",1990,36.4,5.5,41.5,16.2,-9.57564016948645,617.230435515505,0,0,64.4,79.7,57.2,58.4,NA,NA,NA
"Upper middle income","Europe & Central Asia","Albania",1991,36.7,5.6,43,16.2,-28.002141656046,336.586994504629,0,0,62.5,79.7,52.1,58.9,NA,NA,NA
"Upper middle income","Europe & Central Asia","Albania",1992,37.2,5.8,43.9,16.3,-7.18711091636951,200.852219772323,3.06666159864896,20,60.8,79.7,50.6,55.8,NA,NA,NA
"Upper middle income","Europe & Central Asia","Albania",1993,37.8,6,44.2,16.5,9.55941169434753,367.279225077581,4.89321210624299,58,61.1,79.8,52.6,54.3,NA,NA,NA
"Upper middle income","Europe & Central Asia","Albania",1994,38.4,6.2,44.5,16.5,8.30286659112861,586.416339644261,2.81772280812469,53,61.7,80,54.1,54.2,NA,NA,NA
"Upper middle income","Europe & Central Asia","Albania",1995,38.9,6.4,44.5,16.5,13.3223333200803,750.604449178826,2.92548596657615,70,62.9,80.3,56.3,55.1,50.4860372965749,49.7,55.6158111889725
"Upper middle income","Europe & Central Asia","Albania",1996,39.5,6.6,44,16.5,9.09999944360231,1009.97766752106,2.81593952287171,90.1,63.9,80.8,57.8,55.8,50.693560895486,53.8,57.2680682686458
"Upper middle income","Europe & Central Asia","Albania",1997,40,6.7,43.8,16.5,-10.9199840851035,717.380567391734,2.1031512816569,47.5,63.9,81.3,56.1,57.1,51.7318140382867,54.8,57.8928775448193
"Upper middle income","Europe & Central Asia","Albania",1998,40.6,6.8,43,16.5,8.83008770869769,813.790263555599,1.76789390918882,45.01,64.9,81.9,57.6,58,51.6559320057103,53.9,58.0001129350464
"Upper middle income","Europe & Central Asia","Albania",1999,41.2,6.9,42.1,16.6,12.8898967331889,1033.2416930932,1.28264237512513,41.2,66,82.4,59.5,58.6,51.5157429750609,53.4,58.2080562258516
"Upper middle income","Europe & Central Asia","Albania",2000,41.7,7.1,41.6,16.6,6.95003613422918,1126.68331762741,4.10877603723822,143,66.7,83,60.7,58.8,46.5765262511219,53.6,57.0529578753366
"Upper middle income","Europe & Central Asia","Albania",2001,42.4,7.3,41.4,16.6,8.29007002725659,1281.65939343074,5.28543453663519,207.3,67.3,83.5,62.1,58.9,38.9411205536151,56.6,55.9290028327512
"Upper middle income","Europe & Central Asia","Albania",2002,43.5,7.6,41.5,16.7,4.53996064044719,1425.12484888368,3.10482570131248,135,68,84,62.7,59.8,35.738120911267,56.8,55.2947696067134
